[PREMISE],[CHOICE1],[CHOICE2],question,[LABEL],changed,[CONNECTOR]
Lelaki itu telah menyalakan keran.,Lelaki itu telah menyalakan keran sehingga toilet itu telah terisi dengan air.,Lelaki itu telah menyalakan keran sehingga air telah mengalir dari cerat keran tersebut.,effect,1,False,sehingga
Gadis itu telah menemukan sebuah serangga di dalam mangkuknya yang berisi sereal.,Gadis itu telah menemukan sebuah serangga di dalam mangkuknya yang berisi sereal sehingga dia telah menuangkan susu ke dalam mangkuk itu.,Gadis itu telah menemukan sebuah serangga di dalam mangkuknya yang berisi sereal sehingga dia telah kehilangan nafsu makan.,effect,1,False,sehingga
Wanita itu telah pensiun.,Wanita itu telah pensiun sehingga dia telah menerima pensiunnya.,Wanita itu telah pensiun sehingga dia telah melunasi hipoteknya.,effect,0,False,sehingga
Saya ingin menghemat energi.,Saya ingin menghemat energi sehingga saya telah menyapu lantai ruangan yang tidak didiami itu.,Saya ingin menghemat energi sehingga saya telah matikan lampu dalam ruang yang tidak didiami itu.,effect,1,False,sehingga
Daging hamburger itu sudah kecoklatan.,Daging hamburger itu sudah kecoklatan karena si koki telah membekukannya.,Daging hamburger itu sudah kecoklatan karena si koki telah memanggangnya.,cause,1,False,karena
Saya meragukan tawaran pedagang itu.,Saya meragukan tawaran pedagang itu sehingga saya menolak tawarannya.,Saya meragukan tawaran pedagang itu sehingga dia memaksa saya untuk membeli prooduknya.,effect,0,False,sehingga
Saya telah memutuskan untuk bertetap di rumah malam ini.,Saya telah memutuskan untuk bertetap di rumah malam ini karena ramalan cuaca malam itu telah memperkirakan adanya badai.,Saya telah memutuskan untuk bertetap di rumah malam ini karena teman-teman saya sudah mendesak saya untuk bertemu dengan mereka.,cause,0,False,karena
Mata saya menjadi merah dan bengkak.,Mata saya menjadi merah dan bengkak karena saya tertangis.,Mata saya menjadi merah dan bengkak karena saya tertawa.,cause,0,False,karena
Nyala api pada lilin itu sudah padam.,Nyala api pada lilin itu sudah padam karena saya telah tiup sumbu lilin itu.,Nyala api pada lilin itu sudah padam karena saya telah nyalakan lilin itu dengan korek api.,cause,0,False,karena
Lelaki itu telah minum banyak di pesta itu.,Lelaki itu telah minum banyak di pesta itu sehingga dia sakit kepala pada hari berikutnya.,Lelaki itu telah minum banyak di pesta itu sehingga dia pilek keesokan harinya.,effect,0,False,sehingga
Bola bowling mengenai batang-batang bowling.,Bola bowling mengenai batang-batang bowling sehingga seseorang menggelindingkan bola di jalurnya.,Bola bowling mengenai batang-batang bowling sehingga seseorang menjatuhkan bola bowling di kakinya.,effect,0,False,sehingga
Komunitas itu telah dengar tentang kematian pria itu.,Komunitas itu telah dengar tentang kematian pria itu karena keluarganya menguburnya di kuburan.,Komunitas itu telah dengar tentang kematian pria itu karena berita kematiannya muncul di koran.,cause,1,False,karena
Komputer saya rusak.,Komputer saya rusak sehingga saya memasang speaker baru.,Komputer saya rusak sehingga semua data dari komputer saya hilang.,effect,1,False,sehingga
Perempuan itu mengundurkan diri dari pekerjaannya.,Perempuan itu mengundurkan diri dari pekerjaannya karena dia bercita-cita untuk memegang posisi eksekutif di perusahaannya.,Perempuan itu mengundurkan diri dari pekerjaannya karena dia percaya bahwa atasannya bertindak tidak etis.,cause,1,False,karena
Si pemain menangkap bola.,Si pemain menangkap bola sehingga rekan satu timnya melemparkan bola kepadanya.,Si pemain menangkap bola sehingga lawan tandingnya mencoba untuk merebuutnya.,effect,0,False,sehingga
Hakim memukul-mukulkan palunya.,Hakim memukul-mukulkan palunya sehingga ruang sidang menjadi penuh keributan.,Hakim memukul-mukulkan palunya sehingga hakim mengumumkan putusannya.,effect,0,False,sehingga
Wanita itu mengusir anak-anak dari rumahnya.,Wanita itu mengusir anak-anak dari rumahnya karena anak-anak telah menendang sebuah bola ke halamannya.,Wanita itu mengusir anak-anak dari rumahnya karena anak-anak telah menginjak kebunya.,cause,1,False,karena
Para penculik telah membebaskan sanderanya.,Para penculik telah membebaskan sanderanya karena mereka telah menerima uang bayaran.,Para penculik telah membebaskan sanderanya karena mereka telah melarikan diri dari penjara.,cause,0,False,karena
Mata koki itu berkaca-kaca.,Mata koki itu berkaca-kaca karena ia telah kehabisan bawang.,Mata koki itu berkaca-kaca karena ia sedang memotong bawang.,cause,1,False,karena
Wanita itu membasuh tangannya dalam air dingin.,Wanita itu membasuh tangannya dalam air dingin karena ia telah membakar jarinya di pemanggang roti.,Wanita itu membasuh tangannya dalam air dingin karena ia memakai sebuah cincin berlian di jarinya.,cause,0,False,karena
Murid itu salah mengeja kata itu.,Murid itu salah mengeja kata itu sehingga gurunya mengoreksinya.,Murid itu salah mengeja kata itu sehingga gurunya mengeluarkannya dari kelas.,effect,0,False,sehingga
Saya berhasil tenang dari kemarahan saya.,Saya berhasil tenang dari kemarahan saya karena hati saya berdetak dengan kencang.,Saya berhasil tenang dari kemarahan saya karena saya menarik napas dalam-dalam/.,cause,1,False,karena
Saya menaruh tangan saya dibawah air keran.,Saya menaruh tangan saya dibawah air keran sehingga sabun itu terbilas dari tangan saya.,Saya menaruh tangan saya dibawah air keran sehingga air dari keran terpercik ke muka saya.,effect,0,False,sehingga
Lelaki itu memakai setelan baju terbagusnya.,Lelaki itu memakai setelan baju terbagusnya karena ia memiliki rapat dengan klien yang penting.,Lelaki itu memakai setelan baju terbagusnya karena istrinya membelikannya sebuah dasi yang baru.,cause,0,False,karena
Lelaki itu mengakui cintanya kepada wanita itu.,Lelaki itu mengakui cintanya kepada wanita itu sehingga wanita itu menolak kasihnya.,Lelaki itu mengakui cintanya kepada wanita itu sehingga wanita itu iri kepadanya.,effect,0,False,sehingga
Ban mobil milik sopir itu  kempes.,Ban mobil milik sopir itu  kempes karena ia telah melewati batas kecepatan.,Ban mobil milik sopir itu  kempes karena ia menggilas sebuah paku.,cause,1,False,karena
Tampilan layar film di depan saya terblokir.,Tampilan layar film di depan saya terblokir karena pasangan di belakang saya berbisik.,Tampilan layar film di depan saya terblokir karena seorang jangkung berduduk tepat di depan saya.,cause,1,False,karena
Pengemudi itu nyalakan lampu mobilnya.,Pengemudi itu nyalakan lampu mobilnya karena ia mendengar guntur.,Pengemudi itu nyalakan lampu mobilnya karena matahari telah terbenam.,cause,1,False,karena
Perempuan itu menolak untuk makan sayurannya.,Perempuan itu menolak untuk makan sayurannya sehingga bapaknya menyuruhnya untuk minum susu.,Perempuan itu menolak untuk makan sayurannya sehingga bapaknya ambil pencuci mulutnya.,effect,1,False,sehingga
Wanita itu menutup mulutnya dengan tanganya.,Wanita itu menutup mulutnya dengan tanganya karena dia menghela napasnya.,Wanita itu menutup mulutnya dengan tanganya karena dia telah bersin.,cause,1,False,karena
Sekretaris itu telah menahan panggilan dari penelpon itu.,Sekretaris itu telah menahan panggilan dari penelpon itu sehingga penelpon itu telah mematikan jaringan teleponnya.,Sekretaris itu telah menahan panggilan dari penelpon itu sehingga penelpon itu menunggu.,effect,1,False,sehingga
Wanita itu menggunakan penopang untuk berjalan.,Wanita itu menggunakan penopang untuk berjalan karena ia telah mencukur kakinya.,Wanita itu menggunakan penopang untuk berjalan karena ia telah mematahkan kakinya.,cause,1,False,karena
Saya telah batuk.,Saya telah batuk karena saya telah menghirup asap.,Saya telah batuk karena saya telah kecilkan suara saya.,cause,0,False,karena
Jam itu berdentang.,Jam itu berdentang karena sudah sampai puncak jam.,Jam itu berdentang karena satu jam itu terasa berlarut sekali.,cause,0,False,karena
Koki itu memukul telur itu di samping sebuah mangkuk.,Koki itu memukul telur itu di samping sebuah mangkuk sehingga telurnya retak.,Koki itu memukul telur itu di samping sebuah mangkuk sehingga telurnya membusuk.,effect,0,False,sehingga
Polisi telah menggeledah mobil pelaku.,Polisi telah menggeledah mobil pelaku karena mereka telah berusaha untuk mendapatkan pengakuan.,Polisi telah menggeledah mobil pelaku karena mereka mencari narkoba ilegal.,cause,1,False,karena
Pasangan itu berpergian ke selatan ketika musim dingin.,Pasangan itu berpergian ke selatan ketika musim dingin karena mereka telah pensiun.,Pasangan itu berpergian ke selatan ketika musim dingin karena mereka telah berpisah.,cause,0,False,karena
Pria itu merasa berkewajiban untuk menghadiri acara tersebut.,Pria itu merasa berkewajiban untuk menghadiri acara tersebut karena ia menolakn undangan tempannya untuk pergi.,Pria itu merasa berkewajiban untuk menghadiri acara tersebut karena ia telah berjanji ke temannya untuk pergi.,cause,1,False,karena
