[INPUT1],[INPUT2],[INPUT3],[INPUT4],[OPTION1],[OPTION2],[ANSWER]
Aku menjadi penggemar Law and Order di 2011.,Aku sedang dalam masa pemulihan dari strok.,Saat tiba di rumah aku coba menonton setiap episode.,Sulit mencoba nonton maraton acara berusia 20 tahun.,Kurasa Law and Order adalah salah satu acara terburuk yang pernah dibuat.,Akhirnya aku menonton semuanya.,1
Semua orang menyukai Bob karena dia memainkan tokoh populer di film.,Bob membencinya karena dia sama sekali berbeda dari tokoh itu.,Jim meminta Bob mengucapkan kalimat khas tokohnya.,Bob tidak tahan dan amarahnya meledak.,Bob menyuruh pria itu pergi.,Bob meminta teh pada pria itu.,0
Lita ingin menonton acara favoritnya di televisi.,Anak-anaknya bersikeras dia duduk nonton bersama mereka.,Lita mengatakan pada mereka ada pekerjaan yang harus dia lakukan.,Anak-anak menyeret keranjang cuciannya ke ruang keluarga.,Lita memesan pepperoni pizza untuk makan siang.,Lita melipat cucian sambil menonton televisi.,1
Liv melompat karena dia kaget oleh dentuman keras.,Dia menyadari bohlam di dapurnya terbakar.,Dia mengambil pijakan dan naik ke atasnya.,Pijakan itu limbung dan dia nyaris terjatuh.,Liv putuskan mengganti bohlam di kamar mandi.,Liv lalu mengganti bohlam.,1
Ibu mengatakan pada anak-anaknya makan siang lima belas menit lagi.,Namun dia mendapat panggilan telepon penting.,"Saat dia berbicara, anjingnya menyeret lumpur ke seluruh dapur.","Anak-anak mulai merongrong ibunya, yang masih berbicara di telepon.",Sang ibu merasa sangat frustasi.,Perilaku anak-anak membuat ibu mereka tenang.,0
Hector selalu membeli kopi di kedai lokal sebelum kerja.,Dia sadar bahwa kebiasaannya membeli kopi sangat mahal.,Suatu hari Hector putuskan membuat kopi di rumah.,Dia bangga bahwa kopi yang dia buat di rumah sungguh nikmat.,Hector terus membuat kopinya sendiri dan menghemat uang.,Hector mulai membeli lebih banyak kopi dari Starbucks.,0
Kelly mengetahui ada anak baru di sekolah.,Saat berjalan ke sekolah dia mencarinya.,"Saat bertemu dengannya, dia mengundangnya duduk bersamanya untuk makan siang.","Saat mereka makan siang, kedua gadis itu menjadi teman.",Kelly tidak pernah lagi bicara dengannya.,Kelly senang mendapat teman baru.,1
Tommy berlatih keras untuk berlari 5K pertamanya.,Sepanjang lomba dia merasa frustasi saat ada begitu banyak orang melewatinya.,Kala mendengar namanya dipanggil saat pengumuman penghargaan dia terkejut.,Dia tidak sadar mereka selalu memberi penghargaan sesuai kelompok usia.,Dia malu karena tidak mendapat pengakuan.,Dia bangga dapat finish pertama berdasarkan usia namun peringkat sepuluh secara keseluruhan.,1
Laurie akan menghadiri dansa formalnya malam ini.,Kencannya menjemput dan memberinya mawar yang cantik.,Laurie mengenakan gaun panjang berkilau.,Mereka berdansa dan bergembira dengan semua teman mereka.,Laurie pulang ke rumah sambil menangis.,Laurie mengakhiri malam dengan mencium kencannya.,1
Neil menjelajahi jalur kereta api bersejarah.,"Dia berkendara ke Scranton, Pennsylvania.",Dia sadar itu adalah stasiun kereta tua yang cantik.,Dia mengambil banyak foto saat berada di sana.,Neil menghapus semua fotonya.,Neil menyimpan foto-foto di komputernya.,1
