[ENDING1],[ENDING2],[STARTPHRASE],[LABEL]
"Nyalinya seperti anak kecil yang tersesat. Dengan demikian, dia penakut.","Nyalinya seperti anak kecil yang tersesat. Dengan demikian, dia pemberani.",Nyalinya seperti anak kecil yang tersesat.,0
"Nyalinya seperti prajurit terdepan di medan perang. Dengan demikian, dia penakut.","Nyalinya seperti prajurit terdepan di medan perang. Dengan demikian, dia pemberani.",Nyalinya seperti prajurit terdepan di medan perang.,1
"Berbicara dengan Kinan seperti bicara dengan balita. Dengan demikian, pengetahuannya kurang.","Berbicara dengan Kinan seperti bicara dengan balita. Dengan demikian, pengetahuannya luas.",Berbicara dengan Kinan seperti bicara dengan balita.,0
"Berbicara dengan Kinan seperti mengikuti kuliah kuliah dari dosen ternama. Dengan demikian, pengetahuannya kurang.","Berbicara dengan Kinan seperti mengikuti kuliah kuliah dari dosen ternama. Dengan demikian, pengetahuannya luas.",Berbicara dengan Kinan seperti mengikuti kuliah kuliah dari dosen ternama.,1
"Anak itu tampil bak putri malu yang layu. Dengan demikian, anak itu tampil dengan malu-malu.","Anak itu tampil bak putri malu yang layu. Dengan demikian, anak itu tampil dengan percaya diri.",Anak itu tampil bak putri malu yang layu.,0
"Anak itu tampil bak bunga mawar di taman. Dengan demikian, anak itu tampil dengan malu-malu.","Anak itu tampil bak bunga mawar di taman. Dengan demikian, anak itu tampil dengan percaya diri.",Anak itu tampil bak bunga mawar di taman.,1
"Suara Sari dapat mengalahkan suara ombak. Dengan demikian, suara Sari sangat kencang.","Suara Sari dapat mengalahkan suara ombak. Dengan demikian, suara Sari sangat pelan.",Suara Sari dapat mengalahkan suara ombak.,0
"Suara Sari lenyap terbawa angin. Dengan demikian, suara Sari sangat kencang.","Suara Sari lenyap terbawa angin. Dengan demikian, suara Sari sangat pelan.",Suara Sari lenyap terbawa angin.,1
"Cara makannya bagai tamu restoran bintang 5. Dengan demikian, cara makannya rapi.","Cara makannya bagai tamu restoran bintang 5. Dengan demikian, cara makannya berantakan.",Cara makannya bagai tamu restoran bintang 5.,0
"Cara makannya bagai anak kecil di toko es krim. Dengan demikian, cara makannya rapi.","Cara makannya bagai anak kecil di toko es krim. Dengan demikian, cara makannya berantakan.",Cara makannya bagai anak kecil di toko es krim.,1
"Pekerjaan ayah semudah membalikkan telapak tangan. Dengan demikian, pekerjaan ayah sangat mudah.","Pekerjaan ayah semudah membalikkan telapak tangan. Dengan demikian, pekerjaan ayah sangat sulit.",Pekerjaan ayah semudah membalikkan telapak tangan.,0
